coder,id,scale,cope.m,en.m,social.m,conf.m,cope.sd,en.sd,social.sd,conf.sd,cope.a,en.a,social.a,conf.a,,,,,,,,,,,
Aaron,Urban2008,0-4,1.38,1.62,2.42,0.8,1.18,1.24,1.26,0.86,0.87,0.87,0.86,0.8,,,,,,,,,,,
Aaron,VanDamme2013,1-5,1.616,2.462,3.582,1.250,0.800,0.980,0.970,0.650,NA,NA,NA,NA,,,,,,,,,,,
Aaron,VanTyne2011,1-5,1.81,3.51,3.26,NA,0.95,1.13,1.05,NA,0.87,0.92,0.86,NA,,,,,,,,,,,
Aaron,Westmaas2007,1-4,1.6,2.1,2.3,1.3,0.7,0.8,0.7,0.6,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Wild2001.f,1-5,1.992,2.81,3.236,1.434,0.808,1.094,1.096,0.538,0.84,0.89,0.91,0.83,,,,,,,,,,,
Aaron,Wild2001.m,1-5,1.954,3.148,3.58,1.698,0.854,1.076,0.994,0.7,0.84,0.89,0.91,0.83,,,,,,,,,,,
Aaron,Willem2012,1-5,1.605,2.02,2.51,1.17,0.795,0.95,0.88,0.41,0.8,0.84,0.73,0.75,,,,,,,,,,,
Aaron,Windle2012,1-4,1.704,2.122,2.664,NA,0.548,0.662,0.564,NA,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Woldt2002,0-5,0.42,1.01,3.11,NA,0.98,1.04,1.61,NA,0.77,0.62,0.75,NA,,,,,,,,,,,
Aaron,Yurasek2011a,1-5,1.934,2.576,2.858,1.418,0.92,1.038,1.022,0.614,0.87,0.87,NA,NA,,,,,,,,,,,
Aaron,Zwaluw2011,1-5,1.59,2.19,2.57,1.28,0.62,0.92,0.93,0.44,0.76,0.86,0.89,0.73,,,,,,,,,,,
Aaron,Kuntsche2014.1,1-5,1.44,2.43,2.53,1.36,,,,,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Kuntsche2014.2,1-5,2.31,2.5,2.58,1.98,,,,,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Kuntsche2014.4,1-5,1.77,2.22,2.65,1.7,,,,,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Kuntsche2014.7,1-5,1.79,1.9,2.58,1.6,,,,,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Kuntsche2014.8,1-5,1.37,1.78,1.92,1.33,,,,,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Kuntsche2014.1,1-5,1.59,1.87,2.26,1.39,,,,,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Kuntsche2014.11,1-5,2.24,2.58,2.67,2.05,,,,,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Kuntsche2014.12,1-5,1.79,1.87,2.01,1.59,,,,,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Kuntsche2014.13,1-5,1.43,1.99,2.31,1.19,,,,,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Kuntsche2014.14,1-5,1.54,3.34,3.42,1.4,,,,,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Kuntsche2014.15,1-5,2.56,3.11,3.13,1.99,,,,,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Kuntsche2014.16,1-5,1.97,3.23,3.07,1.66,,,,,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Kuntsche2014.17,1-5,1.85,2.62,3.3,1.6,,,,,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Kuntsche2014.19,1-5,1.82,2.48,3.27,1.46,,,,,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Kuntsche2014.2,1-5,2.12,2.45,3.27,1.54,,,,,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Kuntsche2014.21,1-5,1.47,2.15,2.57,1.38,,,,,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Kuntsche2014.23,1-5,1.85,2.23,2.69,1.34,,,,,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Kuntsche2014.24,1-5,1.87,2.39,2.55,1.5,,,,,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Kuntsche2014.25,1-5,1.97,2.28,2.41,1.49,,,,,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Kuntsche2014.26,1-5,1.6,2.31,2.6,1.18,,,,,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Kuntsche2014.30,1-5,1.88,2.85,3.68,1.55,,,,,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Kuntsche2014.31,1-5,2.11,2.11,3.12,1.35,,,,,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Kuntsche2014.34,1-5,1.51,2.24,2.67,1.32,,,,,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Kuntsche2014.35,1-5,2,2.44,2.84,1.28,,,,,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Kuntsche2014.36,1-5,1.66,1.91,2.72,1.25,,,,,NA,NA,NA,NA,,,,,,,,,,,
